TransactionId,Voucher,Amount (Original),Amount (Base USD),Amount (Base),Currency (Original),Account Code,HFM Account,Journal Type,Journal Desc,Customer or Supplier,Transaction Date,Transaction Entered By,Transaction Entered Date,Transaction Updated By,Transaction Updated Date,COY_ID,Entity Name,Vessel AUX,Reference,Updated in ODP,Transaction Open,Transaction Text
VGR731085137,259273V7,50,38.74,50,SGD,1200000,BS20101,SI,Sales Invoice,,06-08-2025,Savita Gaikwad,50:33.4,Savita Gaikwad,50:33.4,,,,VSA-2025-42773,03:48.5,Yes,"Expenses July 2025 
"
VGR731085138,259274V7,12.91,10,12.91,USD,1200000,BS20101,SI,Sales Invoice,,06-08-2025,Savita Gaikwad,50:33.4,Savita Gaikwad,50:33.4,,,,VSA-2025-42774,03:48.5,Yes,"Expenses July 2025 
"
VGR731085139,259275V7,12.91,10,12.91,USD,1200000,BS20101,SI,Sales Invoice,,06-08-2025,Savita Gaikwad,50:33.4,Savita Gaikwad,50:33.4,,,,VSA-2025-42775,03:48.5,Yes,"Expenses July 2025 
"
VGR731085140,259276V7,12.91,10,12.91,USD,1200000,BS20101,SI,Sales Invoice,,06-08-2025,Savita Gaikwad,50:33.4,Savita Gaikwad,50:33.4,,,,VSA-2025-42776,03:48.5,Yes,"Expenses July 2025 
"
VGR731085141,259277V7,662.21,513.02,662.21,SGD,1200000,BS20101,SI,Sales Invoice,,06-08-2025,Savita Gaikwad,50:33.4,Savita Gaikwad,50:33.4,,,,VSA-2025-42777,03:48.5,Yes,"Expenses July 2025 
"
VGR731085142,259278V7,927.52,718.56,927.52,SGD,1200000,BS20101,SI,Sales Invoice,,06-08-2025,Savita Gaikwad,50:33.4,Savita Gaikwad,50:33.4,,,,VSA-2025-42778,03:48.5,Yes,"Expenses July 2025 
"
VGR731085143,259279V7,1419.88,1100,1419.88,USD,1200000,BS20101,SI,Sales Invoice,,06-08-2025,Savita Gaikwad,50:33.4,Savita Gaikwad,50:33.4,,,,VSA-2025-42779,03:48.5,Yes,"Expenses July 2025 
"
VGR731085144,259280V7,1395.46,1081.08,1395.46,USD,1200000,BS20101,SI,Sales Invoice,,06-08-2025,Savita Gaikwad,50:33.4,Savita Gaikwad,50:33.4,,,,VSA-2025-42780,03:48.5,Yes,"Expenses July 2025 
"
VGR731085145,259281V7,231.81,179.59,231.81,USD,1200000,BS20101,SI,Sales Invoice,,06-08-2025,Savita Gaikwad,50:33.4,Savita Gaikwad,50:33.4,,,,VSA-2025-42781,03:48.5,Yes,"Expenses July 2025 
"
VGR731085146,259282V7,575.52,445.86,575.52,SGD,1200000,BS20101,SI,Sales Invoice,,06-08-2025,Savita Gaikwad,50:33.4,Savita Gaikwad,50:33.4,,,,VSA-2025-42782,03:48.5,Yes,"Expenses July 2025 
"
VGR731111936,259380V7,788.81,611.1,788.81,SGD,5940000,IS431000,JV,Journal Voucher,,07-08-2025,Savita Gaikwad,28:27.4,Mini Nair,12:02.1,,,,,03:48.5,Yes,FX diff clear
VGR731119592,AUTO,93.83,72.69,93.83,USD,5940000,IS431000,PA,Purchase Invoice Payment (Finalised Adjustment),Reed Smith LLP (Current),01-08-2025,girisha shirke,34:33.1,girisha shirke,34:33.1,,,,VSV700374563,03:48.5,Yes,Reed Smith LLP (Current)(GBP 7299.00)
VGR731152637,AUTO,-13768.54,-10666.67,-13768.54,USD,1200000,BS20101,SR,Sales Receipt,,07-08-2025,Nishant Jain,42:57.5,Nishant Jain,42:57.5,,,,,03:48.5,Yes,SINAR TERNATE
VGR731171383,259288V7,-20624.18,-15977.83,-20624.18,SGD,3203075,IGNORE,BV,Bank Voucher,,08-08-2025,Nishant Jain,45:57.1,Nishant Jain,45:58.3,VSERGSM0125,VSAG V.Ships Asia Group Pte Ltd (HOLDING),,,03:48.5,Yes,VSAG CASH POOLING
VGR731171450,259289V7,-78084.09,-60492.79,-78084.09,SGD,3203075,IGNORE,BV,Bank Voucher,,05-08-2025,Nishant Jain,52:51.2,Nishant Jain,52:51.3,VSERGSM0125,VSAG V.Ships Asia Group Pte Ltd (HOLDING),,,03:48.5,Yes,VSAG CASH POOLING
VGR731171461,259290V7,-8476.89,-6567.16,-8476.89,SGD,3203075,IGNORE,BV,Bank Voucher,,06-08-2025,Nishant Jain,54:11.7,Nishant Jain,54:11.7,VSERGSM0125,VSAG V.Ships Asia Group Pte Ltd (HOLDING),,,03:48.5,Yes,VSAG CASH POOLING
